Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,PurchasingLink2,MPN2
1,Unpolarized capacitor,C,C12 C13,10nF,C_0805_OEM,2,,,,,,,
2,Cap 50V 0.1uF 10% 0805,C_0.1uF,C2 C4 C5 C9 C10 C11 C15,C_0.1uF,C_0805_OEM,7,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-3352-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=478-3352-1-ND,,
3,Cap 50V 100pF 5% 0805,C_100pF,C3,C_100pF,C_0805_OEM,1,https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf,Value,399-1122-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397,,
4,CAP CER 10UF 16V X5R 0805,C_10uF_16V,C14,C_10uF_16V,C_0805_OEM,1,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/01/15/Data%20sheet_CL21A106KOCLRNC.pdf,Value,1276-2399-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KOCLRNC/1276-2399-1-ND/3890485,,
5,Unpolarized capacitor,C_22uF,C1,C_22uF,C_1206_OEM,1,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2017/07/28/S_CL31A226KOCLFNC.pdf,Value,1276-2725-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=1276-2725-1-ND,,
6,Cap 50V 30pF 5% 0805,C_30pF,C7 C8,C_30pF,C_0805_OEM,2,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,Value,1276-1130-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216,,
7,CAP CER 47UF 6.3V X5R 0805,C_47uF,C6,C_47uF,C_0805_OEM,1,http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf,Value,587-4280-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/taiyo-yuden/JMK212BBJ476MG-T/587-4280-1-ND/5344315,,
8,DIODE SCHOTTKY 100V 1A SOD123,D_Schottky_SOD123,D3,D_Schottky_SOD123,D_SOD-123W_OEM,1,https://assets.nexperia.com/documents/data-sheet/PMEG10010ELR.pdf,,1727-2394-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/nexperia-usa-inc/PMEG10010ELRX/1727-2394-1-ND/5436140,,
9,DIODE ZENER 18V 5W DO214AA,D_Zener_18V,D4,D_Zener_18V,DO-214AA,1,http://www.mccsemi.com/up_pdf/SMBJ5338B-SMBJ5388B(SMB).pdf,DO-214AA (SMB),SMBJ5355B-TPMSCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SMBJ5355B-TPMSCT-ND,,
10,LED_0805,LED_0805,D1 D2 D6 D7 D8 D9,LED_0805,LED_0805_OEM,6,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,Value,475-1410-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=475-1410-1-ND,,
11,PTC Fuse 16V 500mA,F_500mA_16V,F1,F_500mA_16V,Fuse_1210,1,https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf,Value,507-1786-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCH0050FF2G/507-1786-1-ND/4156209,,
12,"TQFP32, 16k Flash, 1k SRAM, 512B EEPROM, CAN",ATMEGA16M1,IC1,ATMEGA16M1,TQFP-32_7x7mm_Pitch0.8mm,1,http://www.atmel.com/Images/Atmel-8209-8-bit%20AVR%20ATmega16M1-32M1-64M1_Datasheet.pdf,Value,ATMEGA16M1-AU-ND,Digi-Key,https://www.digikey.com/product-detail/en/atmel/ATMEGA16M1-AU/ATMEGA16M1-AU-ND/2271208,,
13,,NanoFit_2,J7,NanoFit_2,Molex_NanoFit_1x02x2.50mm_Angled_OEM,1,http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-1223.PDF,Value,WM14958-ND,Digi-Key,https://www.digikey.com/product-detail/en/molex-llc/1053071202/WM14958-ND/6131600,,
14,Ultrafit 4 Pin Connector,Ultrafit_4,J4 J6,Ultrafit_4,Ultrafit_4,2,http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-1008.pdf,Value,WM11574-ND,Digi-Key,https://www.digikey.com/products/en?keywords=WM11574-ND,https://www.digikey.com/product-detail/en/molex-llc/1722561004/WM11564-ND/5291228,WM11564-ND
15,,Ultrafit_5,J8,Ultrafit_5,UltraFit_5,1,http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-1008.pdf,Value,WM11667-ND,Digi-Key,https://www.digikey.com/product-detail/en/molex-llc/1722861105/WM11667-ND/5360132,,
16,g5q power relay,G5Q-1A4-DC5-5V,K1,G5Q-1A4-DC5-5V,Relay_SPST_OMRON-G5Q-1A4_OEM,1,http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5q.pdf,,Z3632-ND,Digi-Key,https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/G5Q-1A4-DC5/Z3632-ND/1815721,,
17,Inductor 4.7uH 4.4A,L_4.7uH,L1,L_4.7uH,4.7uH_Inductor_OEM,1,https://product.tdk.com/info/en/documents/wdcatalog/withdrawn_inductor_commercial_power_vlp8040_en.pdf,Value,445-6583-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/tdk-corporation/VLP8040T-4R7M/445-6583-1-ND/2465893,,
18,"Connector, double row, 02x03",CONN_02X03,P1,CONN_02X03,Pin_Header_Straight_2x03,1,http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf,Value,609-3234-ND,Digi-Key,https://www.digikey.com/product-detail/en/amphenol-fci/67997-206HLF/609-3234-ND/1878491,,
19,"50V Vds, 0.22 A Id, N-channel MOSFET, SOT-23",2N7002,Q1,2N7002,SOT-23F,1,https://www.fairchildsemi.com/datasheets/BS/BSS138.pdf,,,,,,
20,Resistor,R,R22,14.3k,R_0805_OEM,1,,,,,,,
21,Resistor,R,R25,3.01k,R_0805_OEM,1,,,,,,,
