Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,MNF
1,Cap 50V 0.1uF 10% 0805,C_0.1uF,C2 C3 C8 C9,C_0.1uF,C_0805_OEM,4,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-3352-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=478-3352-1-ND,
2,CAP CER 10UF 10V X5R 0805,C_10uF,C5,C_10uF,C_0805_OEM,1,http://datasheets.avx.com/cx5r.pdf,Value,478-5167-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/avx-corporation/0805ZD106KAT2A/478-5167-1-ND/1913257,
3,CAP CER 1UF 25V X7R 0805,C_1uF,C6 C7,C_1uF,C_0805_OEM,2,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-10487-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/avx-corporation/08053C105JAT2A/478-10487-1-ND/6797628,
4,Unpolarized capacitor,C_22uF,C1,C_22uF,C_1206_OEM,1,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2017/07/28/S_CL31A226KOCLFNC.pdf,Value,1276-2725-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=1276-2725-1-ND,
5,CAP CER 47UF 6.3V X5R 0805,C_47uF,C4,C_47uF,C_0805_OEM,1,http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf,Value,587-4280-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/taiyo-yuden/JMK212BBJ476MG-T/587-4280-1-ND/5344315,
6,DIODE SCHOTTKY 100V 1A SOD123,D_Schottky_SOD123,D6,D_Schottky_SOD123,D_SOD-123W_OEM,1,https://assets.nexperia.com/documents/data-sheet/PMEG10010ELR.pdf,,1727-2394-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/nexperia-usa-inc/PMEG10010ELRX/1727-2394-1-ND/5436140,
7,DIODE ZENER 18V 5W DO214AA,D_Zener_18V,D1,D_Zener_18V,DO-214AA,1,http://www.mccsemi.com/up_pdf/SMBJ5338B-SMBJ5388B(SMB).pdf,DO-214AA (SMB),SMBJ5355B-TPMSCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SMBJ5355B-TPMSCT-ND,
8,LED_0805,LED_0805,D2 D3 D4 D5,LED_0805,LED_0805_OEM,4,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,Value,475-1410-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=475-1410-1-ND,
9,PTC Fuse 16V 500mA,F_500mA_16V,F1,F_500mA_16V,Fuse_1210,1,https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf,Value,507-1786-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCH0050FF2G/507-1786-1-ND/4156209,
10,connector micromatch female RA 20,micromatch_female_RA_20,J1,micromatch_female_RA_20,micromatch_female_ra_20,1,,Value,A99490CT-ND,Digi-Key,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/2-338070-0/A99490CT-ND/1955792,
11,g5q power relay,G5Q-1A4-DC5-5V,K1,G5Q-1A4-DC5-5V,Relay_SPST_OMRON-G5Q-1A4_OEM,1,http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5q.pdf,,Z3632-ND,Digi-Key,https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/G5Q-1A4-DC5/Z3632-ND/1815721,
12,Inductor 4.7uH 4.4A,L_4.7uH,L1,L_4.7uH,4.7uH_Inductor_OEM,1,https://product.tdk.com/info/en/documents/wdcatalog/withdrawn_inductor_commercial_power_vlp8040_en.pdf,Value,445-6583-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/tdk-corporation/VLP8040T-4R7M/445-6583-1-ND/2465893,
13,"60V Vds, 0.115A Id, N-channel MOSFET, SOT-23",SSM3K333R,Q1 Q2,SSM3K333R,SOT-23F,2,https://drive.google.com/drive/folders/0B-V-iZf33Y4GNzhDQTJZanJRbVk,SOT-23-3 Flat Leads,SSM3K333RLFCT-ND,Digi-Key,https://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/SSM3K333RLF/SSM3K333RLFCT-ND/3522391,
14,Res 0 2512 3W Jumper,R_0_Jumper,R9,R_0_Jumper,R_2512_OEM,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773463-7&DocType=DS&DocLang=English,Value,A121322CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=A121322CT-ND,
15,Res 100k 1%,R_100k,R3 R4 R8,R_100k,R_0805_OEM,3,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Value,311-100KCRCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=311-100KCRCT-ND,
16,Res 10k 1%,R_10k,R2 R5 R6 R13 R14 R15 R17,R_10k,R_0805_OEM,7,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,
17,Res 1k 1%,R_1k,R1,R_1k,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD1K00CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND,
18,Res 200 5%,R_200,R10 R11 R16,R_200,R_0805_OEM,3,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805JT200RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND,
19,Res 55.1k 1%,R_55.1k,R7,R_55.1k,R_0805_OEM,1,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Value,311-51.1KCRCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=311-51.1KCRCT-ND,
20,Resistor,R_71.5k,R12,R_71.5k,R_0805_OEM,1,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_8.pdf,Value,RC0805FR-0771K5L,Yageo,https://www.digikey.com/product-detail/en/yageo/RC0805FR-0771K5L/311-71.5KCRCT-ND/731072,
21,Op Amp in 5-pin package,MCP6001,U3,MCP6001,SOT-23-5_OEM,1,http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf,"SC-74A, SOT-753",MCP6001T-I/OT,,https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-OT/MCP6001T-I-OTCT-ND/697158,Microchip Technology
22,Single 2-Input Positive NOR-Gate,SN74LVC1G02,U4 U5,SN74LVC1G02,SOT-23-5_OEM,2,http://www.ti.com/lit/ds/symlink/sn74lvc1g02.pdf,"SC-74A, SOT-753",SN74LVC1G02DBVR,Texas Instruments,https://www.digikey.com/product-detail/en/texas-instruments/SN74LVC1G02DBVR/296-11597-1-ND/385736,
23,Single 2-Input Positive-AND Gate,SN74LVC1G08,U2,SN74LVC1G08,SOT-23-5_OEM,1,http://www.ti.com/lit/ds/symlink/sn74lvc1g08.pdf,"SC-74A, SOT-753",SN74LVC1G08DBVR,Texas Instruments,https://www.digikey.com/product-detail/en/texas-instruments/SN74LVC1G08DBVR/296-11601-1-ND/385740,
24,4.5V - 17V Input 1A Synchronous Buck Converter,TPS561201,U1,TPS561201,SOT-23-6_OEM,1,http://www.ti.com/lit/ds/symlink/tps561201.pdf,Value,TPS561201,Digi-Key,https://www.digikey.com/products/en?keywords=296-46928-1-ND,





Component Groups:,24
Component Count:,43
Fitted Components:,43
Number of PCBs:,1
Total components:,43
Schematic Version:,
Schematic Date:,
BoM Date:,Mon 05 Feb 2018 09:23:43 PM EST
Schematic Source:,/home/bryce/Desktop/Formula/MK_III-Boards/boards/BSPD/BSPD.sch
KiCad Version:,Eeschema 4.0.2+dfsg1-stable
