Reference, Value, Footprint, Datasheet, MPN, MFN, Package, PurchasingLink, Purchase_Link
"R21","R_10k","footprints:R_0805_OEM","http://www.bourns.com/data/global/pdfs/CRS.pdf","CRS0805-FX-1002ELFCT-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND",""
"R22","R_10k","footprints:R_0805_OEM","http://www.bourns.com/data/global/pdfs/CRS.pdf","CRS0805-FX-1002ELFCT-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND",""
"R20","R_1k","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","RNCP0805FTD1K00CT-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND",""
"R23","R_55.1k","footprints:R_0805_OEM","http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf","311-51.1KCRCT-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=311-51.1KCRCT-ND",""
"R28","R_200","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","RMCF0805JT200RCT-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND",""
"R26","R_0_Jumper","footprints:R_2512_OEM","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773463-7&DocType=DS&DocLang=English","A121322CT-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=A121322CT-ND",""
"D8","LED_0805","footprints:D_0805_OEM","http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf","475-1410-1-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=475-1410-1-ND",""
"D9","LED_0805","footprints:D_0805_OEM","http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf","475-1410-1-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=475-1410-1-ND",""
"L1","L_4.7uH","footprints:4.7uH_Inductor_OEM","https://product.tdk.com/info/en/documents/wdcatalog/withdrawn_inductor_commercial_power_vlp8040_en.pdf","445-6583-1-ND","Digi-Key","Value","https://www.digikey.com/product-detail/en/tdk-corporation/VLP8040T-4R7M/445-6583-1-ND/2465893",""
"C5","C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","478-3352-1-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=478-3352-1-ND",""
"C4","C_22uF","footprints:C_1206_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2017/07/28/S_CL31A226KOCLFNC.pdf","1276-2725-1-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=1276-2725-1-ND",""
"C7","C_47uF","footprints:C_0805_OEM","http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf","587-4280-1-ND","Digi-Key","Value","https://www.digikey.com/product-detail/en/taiyo-yuden/JMK212BBJ476MG-T/587-4280-1-ND/5344315",""
"U4","TPS561201","footprints:SOT-23-6_OEM","http://www.ti.com/lit/ds/symlink/tps561201.pdf","TPS561201","Digi-Key","Value","https://www.digikey.com/products/en?keywords=296-46928-1-ND",""
"F1","F_500mA_16V","footprints:Fuse_1210","https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf","507-1786-1-ND","Digi-Key","Value","https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCH0050FF2G/507-1786-1-ND/4156209",""
"R19","R_100","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","RNCP0805FTD100RCT-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND",""
"C1","C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","478-3352-1-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=478-3352-1-ND",""
"C2","C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","478-3352-1-ND","Digi-Key","Value","https://www.digikey.com/products/en?keywords=478-3352-1-ND",""
"C3","C_100pF","footprints:C_0805_OEM","https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf","399-1122-1-ND","Digi-Key","Value","https://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397",""
